,,,,,,Daily Price Report-01-01-2026 to 22-02-2026,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Bihar,Muzaffarpur,Muzaffarpur APMC,Cereals,Wheat,147 Average,FAQ,"2,520.00","2,640.00","2,600.00",Rs./Quintal,21-02-2026
Bihar,Muzaffarpur,Muzaffarpur APMC,Cereals,Wheat,147 Average,FAQ,"2,500.00","2,650.00","2,600.00",Rs./Quintal,20-02-2026
Bihar,Muzaffarpur,Muzaffarpur APMC,Cereals,Wheat,147 Average,FAQ,"2,550.00","2,700.00","2,650.00",Rs./Quintal,31-01-2026
Bihar,Muzaffarpur,Muzaffarpur APMC,Cereals,Wheat,147 Average,FAQ,"2,560.00","2,700.00","2,650.00",Rs./Quintal,30-01-2026
Bihar,Muzaffarpur,Muzaffarpur APMC,Cereals,Wheat,147 Average,FAQ,"2,560.00","2,700.00","2,650.00",Rs./Quintal,29-01-2026
Bihar,Muzaffarpur,Muzaffarpur APMC,Cereals,Wheat,147 Average,FAQ,"2,560.00","2,700.00","2,640.00",Rs./Quintal,28-01-2026
Bihar,Muzaffarpur,Muzaffarpur APMC,Cereals,Wheat,147 Average,FAQ,"2,530.00","2,700.00","2,650.00",Rs./Quintal,22-01-2026
Bihar,Muzaffarpur,Muzaffarpur APMC,Cereals,Wheat,147 Average,FAQ,"2,500.00","2,700.00","2,640.00",Rs./Quintal,21-01-2026
Bihar,Muzaffarpur,Muzaffarpur APMC,Cereals,Wheat,147 Average,FAQ,"2,590.00","2,700.00","2,650.00",Rs./Quintal,18-01-2026
Bihar,Muzaffarpur,Muzaffarpur APMC,Cereals,Wheat,147 Average,FAQ,"2,570.00","2,690.00","2,640.00",Rs./Quintal,01-01-2026
Chattisgarh,Balodabazar,Bhatapara APMC,Cereals,Wheat,Local,FAQ,"2,605.00","2,605.00","2,605.00",Rs./Quintal,03-02-2026
Chattisgarh,Balodabazar,Bhatapara APMC,Cereals,Wheat,Local,FAQ,"2,600.00","2,600.00","2,600.00",Rs./Quintal,24-01-2026
Chattisgarh,Bemetara,Bemetara APMC,Cereals,Wheat,Deshi,Non-FAQ,"2,300.00","2,400.00","2,350.00",Rs./Quintal,30-01-2026
